ExonID	GeneID	geneSymbol	chr	strand	X1stExonStart_0base	X1stExonEnd	X2ndExonStart_0base	X2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	IncFormLen	SkipFormLen	AStype	TargetExon
SE_1033	ENSG00000148335	NTMT1	chr9	+	132394928	132395080	NA	NA	132388453	132388574	132396332	132396585	IncFormLen	SkipFormLen	SE	+chr9:132394928-132395080
SE_1036	ENSG00000148335	NTMT1	chr9	+	132394928	132395144	NA	NA	132388451	132388574	132396332	132396500	IncFormLen	SkipFormLen	SE	+chr9:132394928-132395144
SE_1054	ENSG00000198917	C9orf114	chr9	-	131586025	131586173	NA	NA	131581929	131585112	131586350	131586453	IncFormLen	SkipFormLen	SE	-chr9:131586025-131586173
SE_1236	ENSG00000167110	GOLGA2	chr9	-	131029472	131029553	NA	NA	131028565	131028604	131029736	131029796	IncFormLen	SkipFormLen	SE	-chr9:131029472-131029553
SE_1255	ENSG00000167110	GOLGA2	chr9	-	131035063	131035144	NA	NA	131030698	131030803	131036128	131036132	IncFormLen	SkipFormLen	SE	-chr9:131035063-131035144
SE_1336	ENSG00000090621	PABPC4	chr1	-	40029507	40029594	NA	NA	40029285	40029413	40030094	40030163	IncFormLen	SkipFormLen	SE	-chr1:40029507-40029594
SE_1337	ENSG00000090621	PABPC4	chr1	-	40029507	40029594	NA	NA	40029285	40029413	40030142	40030214	IncFormLen	SkipFormLen	SE	-chr1:40029507-40029594
SE_1402	ENSG00000166167	BTRC	chr10	+	103190101	103190209	NA	NA	103113819	103113985	103221737	103221815	IncFormLen	SkipFormLen	SE	+chr10:103190101-103190209
SE_1410	ENSG00000166167	BTRC	chr10	+	103221720	103221815	NA	NA	103190101	103190209	103239124	103239214	IncFormLen	SkipFormLen	SE	+chr10:103221720-103221815
SE_1484	ENSG00000119408	NEK6	chr9	+	127055127	127055292	NA	NA	127019884	127020000	127064214	127064333	IncFormLen	SkipFormLen	SE	+chr9:127055127-127055292
SE_1486	ENSG00000119408	NEK6	chr9	+	127055127	127055292	NA	NA	127020241	127020364	127064214	127064333	IncFormLen	SkipFormLen	SE	+chr9:127055127-127055292
SE_1489	ENSG00000119408	NEK6	chr9	+	127055127	127055292	NA	NA	127020539	127020640	127064214	127064333	IncFormLen	SkipFormLen	SE	+chr9:127055127-127055292
SE_1492	ENSG00000119408	NEK6	chr9	+	127055127	127055292	NA	NA	127023751	127023862	127064214	127064333	IncFormLen	SkipFormLen	SE	+chr9:127055127-127055292
SE_1496	ENSG00000119408	NEK6	chr9	+	127055127	127055292	NA	NA	127054249	127054367	127064214	127064333	IncFormLen	SkipFormLen	SE	+chr9:127055127-127055292
SE_1498	ENSG00000119408	NEK6	chr9	+	127055127	127055292	NA	NA	127054698	127054818	127064214	127064333	IncFormLen	SkipFormLen	SE	+chr9:127055127-127055292
SE_1578	ENSG00000155313	USP25	chr21	+	17196357	17196485	NA	NA	17191016	17191165	17197284	17197380	IncFormLen	SkipFormLen	SE	+chr21:17196357-17196485
SE_1606	ENSG00000155313	USP25	chr21	+	17222095	17222191	NA	NA	17214716	17214859	17236586	17236765	IncFormLen	SkipFormLen	SE	+chr21:17222095-17222191
SE_1699	ENSG00000165209	STRBP	chr9	-	125999108	125999245	NA	NA	125946410	125946577	126030714	126030843	IncFormLen	SkipFormLen	SE	-chr9:125999108-125999245
SE_1738	ENSG00000129993	CBFA2T3	chr16	-	88964485	88964560	NA	NA	88958651	88958893	88967911	88968064	IncFormLen	SkipFormLen	SE	-chr16:88964485-88964560
SE_1739	ENSG00000129993	CBFA2T3	chr16	-	88964495	88964560	NA	NA	88958806	88958893	88967911	88968064	IncFormLen	SkipFormLen	SE	-chr16:88964495-88964560
SE_1788	ENSG00000119403	PHF19	chr9	-	123624195	123624283	NA	NA	123623366	123623452	123624865	123625027	IncFormLen	SkipFormLen	SE	-chr9:123624195-123624283
SE_1883	ENSG00000136861	CDK5RAP2	chr9	-	123169289	123169526	NA	NA	123166313	123166391	123170624	123170746	IncFormLen	SkipFormLen	SE	-chr9:123169289-123169526
SE_1915	ENSG00000136861	CDK5RAP2	chr9	-	123215733	123216151	NA	NA	123210172	123210404	123230137	123230275	IncFormLen	SkipFormLen	SE	-chr9:123215733-123216151
SE_1918	ENSG00000136861	CDK5RAP2	chr9	-	123222849	123222945	NA	NA	123220727	123220900	123230137	123230275	IncFormLen	SkipFormLen	SE	-chr9:123222849-123222945
SE_1919	ENSG00000136861	CDK5RAP2	chr9	-	123222849	123223025	NA	NA	123220727	123220900	123230137	123230275	IncFormLen	SkipFormLen	SE	-chr9:123222849-123223025
SE_2042	ENSG00000157869	RAB28	chr4	-	13371494	13371589	NA	NA	13369347	13370274	13378168	13378246	IncFormLen	SkipFormLen	SE	-chr4:13371494-13371589
SE_2061	ENSG00000157869	RAB28	chr4	-	13462322	13462452	NA	NA	13383114	13383218	13475941	13475946	IncFormLen	SkipFormLen	SE	-chr4:13462322-13462452
SE_2130	ENSG00000138835	RGS3	chr9	+	116344351	116344522	NA	NA	116291500	116291544	116345729	116345951	IncFormLen	SkipFormLen	SE	+chr9:116344351-116344522
SE_2132	ENSG00000138835	RGS3	chr9	+	116344351	116344522	NA	NA	116299075	116299198	116345729	116345951	IncFormLen	SkipFormLen	SE	+chr9:116344351-116344522
SE_2134	ENSG00000138835	RGS3	chr9	+	116344351	116344522	NA	NA	116342939	116343285	116345729	116345951	IncFormLen	SkipFormLen	SE	+chr9:116344351-116344522
SE_2199	ENSG00000102575	ACP5	chr19	-	11688838	11689009	NA	NA	11688407	11688494	11689658	11689823	IncFormLen	SkipFormLen	SE	-chr19:11688838-11689009
SE_2201	ENSG00000102575	ACP5	chr19	-	11689399	11689472	NA	NA	11688407	11688494	11689658	11689769	IncFormLen	SkipFormLen	SE	-chr19:11689399-11689472
SE_2204	ENSG00000102575	ACP5	chr19	-	11689399	11689579	NA	NA	11688407	11688494	11689658	11689794	IncFormLen	SkipFormLen	SE	-chr19:11689399-11689579
SE_2406	ENSG00000078369	GNB1	chr1	-	1770628	1770677	NA	NA	1756426	1756938	1822258	1822275	IncFormLen	SkipFormLen	SE	-chr1:1770628-1770677
SE_2412	ENSG00000241978	AKAP2	chr9	+	112918598	112918777	NA	NA	112898406	112900819	112930678	112930686	IncFormLen	SkipFormLen	SE	+chr9:112918598-112918777
SE_2416	ENSG00000128607	KLHDC10	chr7	+	129736760	129736847	NA	NA	129710349	129710649	129756284	129756506	IncFormLen	SkipFormLen	SE	+chr7:129736760-129736847
SE_2448	ENSG00000119328	FAM206A	chr9	+	111698587	111698717	NA	NA	111697917	111697969	111712786	111713024	IncFormLen	SkipFormLen	SE	+chr9:111698587-111698717
SE_2453	ENSG00000119328	FAM206A	chr9	+	111701475	111701552	NA	NA	111698587	111698717	111712786	111713024	IncFormLen	SkipFormLen	SE	+chr9:111701475-111701552
SE_2498	ENSG00000106701	FSD1L	chr9	+	108223800	108223896	NA	NA	108210076	108210516	108226516	108226612	IncFormLen	SkipFormLen	SE	+chr9:108223800-108223896
SE_2532	ENSG00000106701	FSD1L	chr9	+	108296773	108296874	NA	NA	108275087	108275217	108308638	108308856	IncFormLen	SkipFormLen	SE	+chr9:108296773-108296874
SE_2545	ENSG00000106701	FSD1L	chr9	+	108301543	108301632	NA	NA	108275087	108275217	108308638	108308856	IncFormLen	SkipFormLen	SE	+chr9:108301543-108301632
SE_2594	ENSG00000178307	TMEM11	chr17	-	21114248	21114540	NA	NA	21101266	21102153	21117403	21117474	IncFormLen	SkipFormLen	SE	-chr17:21114248-21114540
SE_2597	ENSG00000178307	TMEM11	chr17	-	21114379	21114540	NA	NA	21101568	21102153	21117403	21117476	IncFormLen	SkipFormLen	SE	-chr17:21114379-21114540
SE_2810	ENSG00000158122	AAED1	chr9	-	99408174	99408306	NA	NA	99401858	99404168	99413671	99413777	IncFormLen	SkipFormLen	SE	-chr9:99408174-99408306
SE_2815	ENSG00000130958	SLC35D2	chr9	-	99084279	99084362	NA	NA	99082987	99083623	99086372	99086451	IncFormLen	SkipFormLen	SE	-chr9:99084279-99084362
SE_2830	ENSG00000130958	SLC35D2	chr9	-	99098998	99099066	NA	NA	99086372	99086451	99122435	99122503	IncFormLen	SkipFormLen	SE	-chr9:99098998-99099066
SE_2851	ENSG00000130958	SLC35D2	chr9	-	99113384	99113453	NA	NA	99107580	99107683	99122435	99122503	IncFormLen	SkipFormLen	SE	-chr9:99113384-99113453
SE_2856	ENSG00000130958	SLC35D2	chr9	-	99114319	99114391	NA	NA	99107580	99107683	99122435	99122503	IncFormLen	SkipFormLen	SE	-chr9:99114319-99114391
SE_2896	ENSG00000182150	ERCC6L2	chr9	+	98729740	98729907	NA	NA	98728843	98728996	98732857	98732938	IncFormLen	SkipFormLen	SE	+chr9:98729740-98729907
SE_2898	ENSG00000182150	ERCC6L2	chr9	+	98733825	98733877	NA	NA	98732857	98732938	98734214	98734250	IncFormLen	SkipFormLen	SE	+chr9:98733825-98733877
SE_2907	ENSG00000167377	ZNF23	chr16	-	71484496	71484618	NA	NA	71481512	71483788	71487145	71487253	IncFormLen	SkipFormLen	SE	-chr16:71484496-71484618
SE_2971	ENSG00000165806	CASP7	chr10	+	115451722	115451829	NA	NA	115439425	115439737	115457252	115457362	IncFormLen	SkipFormLen	SE	+chr10:115451722-115451829
SE_2973	ENSG00000165806	CASP7	chr10	+	115451755	115451829	NA	NA	115439427	115439737	115457252	115457362	IncFormLen	SkipFormLen	SE	+chr10:115451755-115451829
SE_3148	ENSG00000104312	RIPK2	chr8	+	90775056	90775210	NA	NA	90769974	90770461	90777568	90777724	IncFormLen	SkipFormLen	SE	+chr8:90775056-90775210
SE_3278	ENSG00000185864	NPIPB4	chr16	-	21851260	21851329	NA	NA	21850570	21850631	21854706	21854733	IncFormLen	SkipFormLen	SE	-chr16:21851260-21851329
SE_3311	ENSG00000090054	SPTLC1	chr9	-	94841715	94841848	NA	NA	94830247	94830380	94842297	94842370	IncFormLen	SkipFormLen	SE	-chr9:94841715-94841848
SE_3481	ENSG00000083223	ZCCHC6	chr9	-	88941285	88941406	NA	NA	88940248	88940429	88943254	88943407	IncFormLen	SkipFormLen	SE	-chr9:88941285-88941406
SE_3748	ENSG00000197969	VPS13A	chr9	+	79898270	79898387	NA	NA	79897036	79897190	79898462	79898566	IncFormLen	SkipFormLen	SE	+chr9:79898270-79898387
SE_3822	ENSG00000134070	IRAK2	chr3	+	10242052	10242199	NA	NA	10219521	10219704	10251272	10251376	IncFormLen	SkipFormLen	SE	+chr3:10242052-10242199
SE_3832	ENSG00000237651	C2orf74	chr2	+	61389976	61390090	NA	NA	61372242	61372331	61390186	61390367	IncFormLen	SkipFormLen	SE	+chr2:61389976-61390090
SE_3912	ENSG00000135048	TMEM2	chr9	-	74349721	74349910	NA	NA	74347266	74347436	74354978	74355148	IncFormLen	SkipFormLen	SE	-chr9:74349721-74349910
SE_3972	ENSG00000212694	AC084018.1	chr12	-	122240536	122240690	NA	NA	122239612	122239714	122240784	122240839	IncFormLen	SkipFormLen	SE	-chr12:122240536-122240690
SE_3996	ENSG00000119139	TJP2	chr9	+	71864290	71864401	NA	NA	71862927	71863140	71865950	71866280	IncFormLen	SkipFormLen	SE	+chr9:71864290-71864401
SE_3997	ENSG00000119139	TJP2	chr9	+	71864290	71864401	NA	NA	71862927	71863140	71867730	71867816	IncFormLen	SkipFormLen	SE	+chr9:71864290-71864401
SE_4000	ENSG00000119139	TJP2	chr9	+	71865950	71866280	NA	NA	71862927	71863140	71867730	71867816	IncFormLen	SkipFormLen	SE	+chr9:71865950-71866280
SE_4027	ENSG00000147996	CBWD5	chr9	-	70488815	70488917	NA	NA	70486832	70486879	70489914	70490104	IncFormLen	SkipFormLen	SE	-chr9:70488815-70488917
SE_4028	ENSG00000147996	CBWD5	chr9	-	70488819	70488917	NA	NA	70486792	70486879	70489914	70490115	IncFormLen	SkipFormLen	SE	-chr9:70488819-70488917
SE_4084	ENSG00000188732	FAM221A	chr7	+	23724117	23724291	NA	NA	23719748	23719902	23728887	23729078	IncFormLen	SkipFormLen	SE	+chr7:23724117-23724291
SE_4096	ENSG00000188732	FAM221A	chr7	+	23737810	23737918	NA	NA	23731008	23731215	23740404	23740487	IncFormLen	SkipFormLen	SE	+chr7:23737810-23737918
SE_4156	ENSG00000155846	PPARGC1B	chr5	+	149210329	149210446	NA	NA	149206235	149206448	149212218	149213341	IncFormLen	SkipFormLen	SE	+chr5:149210329-149210446
SE_4309	ENSG00000140632	GLYR1	chr16	-	4871547	4871598	NA	NA	4871204	4871454	4872875	4872932	IncFormLen	SkipFormLen	SE	-chr16:4871547-4871598
SE_4323	ENSG00000140632	GLYR1	chr16	-	4881979	4882222	NA	NA	4873821	4873908	4882774	4882913	IncFormLen	SkipFormLen	SE	-chr16:4881979-4882222
SE_4354	ENSG00000163249	CCNYL1	chr2	+	208598670	208598771	NA	NA	208591565	208591600	208602134	208602170	IncFormLen	SkipFormLen	SE	+chr2:208598670-208598771
SE_4376	ENSG00000163249	CCNYL1	chr2	+	208605378	208605430	NA	NA	208602134	208602170	208606946	208607066	IncFormLen	SkipFormLen	SE	+chr2:208605378-208605430
SE_4474	ENSG00000165102	HGSNAT	chr8	+	43033216	43033377	NA	NA	43027452	43027529	43037287	43037403	IncFormLen	SkipFormLen	SE	+chr8:43033216-43033377
SE_4484	ENSG00000165102	HGSNAT	chr8	+	43051572	43051683	NA	NA	43048899	43048986	43052090	43052168	IncFormLen	SkipFormLen	SE	+chr8:43051572-43051683
SE_4530	ENSG00000186106	ANKRD46	chr8	-	101544583	101544688	NA	NA	101541750	101542088	101545436	101545539	IncFormLen	SkipFormLen	SE	-chr8:101544583-101544688
SE_4668	ENSG00000197976	AKAP17A	chrX	+	1719030	1719100	NA	NA	1718084	1718325	1719551	1721395	IncFormLen	SkipFormLen	SE	+chrX:1719030-1719100
SE_4751	ENSG00000148154	UGCG	chr9	+	114678038	114678116	NA	NA	114676884	114677026	114685128	114685231	IncFormLen	SkipFormLen	SE	+chr9:114678038-114678116
SE_4798	ENSG00000122741	DCAF10	chr9	+	37842085	37842283	NA	NA	37819284	37819398	37854776	37854979	IncFormLen	SkipFormLen	SE	+chr9:37842085-37842283
SE_4808	ENSG00000122741	DCAF10	chr9	+	37857237	37857348	NA	NA	37854776	37854979	37860044	37860190	IncFormLen	SkipFormLen	SE	+chr9:37857237-37857348
SE_4846	ENSG00000107371	EXOSC3	chr9	-	37781982	37782134	NA	NA	37779710	37780877	37783910	37784060	IncFormLen	SkipFormLen	SE	-chr9:37781982-37782134
SE_4890	ENSG00000159921	GNE	chr9	-	36236828	36236981	NA	NA	36233916	36234129	36246027	36246479	IncFormLen	SkipFormLen	SE	-chr9:36236828-36236981
SE_4894	ENSG00000159921	GNE	chr9	-	36249188	36249394	NA	NA	36246027	36246479	36258317	36258326	IncFormLen	SkipFormLen	SE	-chr9:36249188-36249394
SE_4897	ENSG00000122705	CLTA	chr9	+	36197547	36197585	NA	NA	36190852	36191270	36204064	36204176	IncFormLen	SkipFormLen	SE	+chr9:36197547-36197585
SE_4935	ENSG00000121864	ZNF639	chr3	+	179042829	179043110	NA	NA	179040863	179041079	179045348	179045419	IncFormLen	SkipFormLen	SE	+chr3:179042829-179043110
SE_4960	ENSG00000137103	TMEM8B	chr9	+	35834457	35834647	NA	NA	35829512	35829952	35841130	35841258	IncFormLen	SkipFormLen	SE	+chr9:35834457-35834647
SE_4964	ENSG00000137103	TMEM8B	chr9	+	35835007	35835215	NA	NA	35829512	35829952	35841130	35841258	IncFormLen	SkipFormLen	SE	+chr9:35835007-35835215
SE_4993	ENSG00000137103	TMEM8B	chr9	+	35842388	35842714	NA	NA	35835007	35835215	35845971	35846065	IncFormLen	SkipFormLen	SE	+chr9:35842388-35842714
SE_5098	ENSG00000137135	ARHGEF39	chr9	-	35662942	35663071	NA	NA	35662508	35662738	35663318	35663389	IncFormLen	SkipFormLen	SE	-chr9:35662942-35663071
SE_5105	ENSG00000137101	CD72	chr9	-	35610598	35610750	NA	NA	35609529	35610297	35611800	35611916	IncFormLen	SkipFormLen	SE	-chr9:35610598-35610750
SE_5259	ENSG00000148358	GPR107	chr9	+	132872648	132872705	NA	NA	132869774	132869818	132887193	132887243	IncFormLen	SkipFormLen	SE	+chr9:132872648-132872705
SE_5295	ENSG00000213930	GALT	chr9	+	34647488	34647564	NA	NA	34646664	34647255	34647828	34647958	IncFormLen	SkipFormLen	SE	+chr9:34647488-34647564
SE_5311	ENSG00000213930	GALT	chr9	+	34647653	34647702	NA	NA	34646664	34647255	34647828	34647902	IncFormLen	SkipFormLen	SE	+chr9:34647653-34647702
SE_5362	ENSG00000165006	UBAP1	chr9	+	34220905	34220946	NA	NA	34179002	34179238	34234213	34234338	IncFormLen	SkipFormLen	SE	+chr9:34220905-34220946
SE_5495	ENSG00000137074	APTX	chr9	-	32984628	32984855	NA	NA	32974455	32974559	32985968	32986028	IncFormLen	SkipFormLen	SE	-chr9:32984628-32984855
SE_5538	ENSG00000137074	APTX	chr9	-	32988080	32988122	NA	NA	32987541	32987729	32989756	32989893	IncFormLen	SkipFormLen	SE	-chr9:32988080-32988122
SE_5545	ENSG00000137074	APTX	chr9	-	32988080	32988127	NA	NA	32987540	32987729	32989756	32989893	IncFormLen	SkipFormLen	SE	-chr9:32988080-32988127
SE_5548	ENSG00000137074	APTX	chr9	-	32988080	32988127	NA	NA	32987541	32987844	32989756	32989893	IncFormLen	SkipFormLen	SE	-chr9:32988080-32988127
SE_5598	ENSG00000233137	RP11-220I1.1	chr9	+	37084195	37084289	NA	NA	37079904	37080031	37086664	37087004	IncFormLen	SkipFormLen	SE	+chr9:37084195-37084289
SE_5601	ENSG00000233137	RP11-220I1.1	chr9	+	37084195	37084289	NA	NA	37080009	37080533	37086664	37087004	IncFormLen	SkipFormLen	SE	+chr9:37084195-37084289
SE_5602	ENSG00000160752	FDPS	chr1	+	155279543	155279756	NA	NA	155278704	155278756	155279833	155279996	IncFormLen	SkipFormLen	SE	+chr1:155279543-155279756
SE_5604	ENSG00000160752	FDPS	chr1	+	155279543	155279756	NA	NA	155278749	155278867	155279833	155279996	IncFormLen	SkipFormLen	SE	+chr1:155279543-155279756
SE_5606	ENSG00000160752	FDPS	chr1	+	155279579	155279756	NA	NA	155278642	155278756	155279833	155279996	IncFormLen	SkipFormLen	SE	+chr1:155279579-155279756
SE_5608	ENSG00000160752	FDPS	chr1	+	155279579	155279756	NA	NA	155278642	155278756	155282045	155282186	IncFormLen	SkipFormLen	SE	+chr1:155279579-155279756
SE_5609	ENSG00000160752	FDPS	chr1	+	155279579	155279756	NA	NA	155278706	155278867	155279833	155279996	IncFormLen	SkipFormLen	SE	+chr1:155279579-155279756
SE_5610	ENSG00000160752	FDPS	chr1	+	155279579	155279756	NA	NA	155278706	155278867	155279854	155279996	IncFormLen	SkipFormLen	SE	+chr1:155279579-155279756
SE_5727	ENSG00000099917	MED15	chr22	+	20873164	20873282	NA	NA	20861868	20862033	20891403	20891470	IncFormLen	SkipFormLen	SE	+chr22:20873164-20873282
SE_5758	ENSG00000099917	MED15	chr22	+	20909222	20909435	NA	NA	20907383	20907461	20918736	20918753	IncFormLen	SkipFormLen	SE	+chr22:20909222-20909435
SE_5760	ENSG00000099917	MED15	chr22	+	20909363	20909435	NA	NA	20907431	20907461	20918736	20918975	IncFormLen	SkipFormLen	SE	+chr22:20909363-20909435
SE_5768	ENSG00000099917	MED15	chr22	+	20929399	20929519	NA	NA	20922807	20922918	20936897	20937034	IncFormLen	SkipFormLen	SE	+chr22:20929399-20929519
SE_5793	ENSG00000147889	CDKN2A	chr9	-	21993880	21994052	NA	NA	21970900	21971207	21994137	21994623	IncFormLen	SkipFormLen	SE	-chr9:21993880-21994052
SE_5834	ENSG00000005156	LIG3	chr17	+	33308499	33308576	NA	NA	33307595	33307641	33310020	33310571	IncFormLen	SkipFormLen	SE	+chr17:33308499-33308576
SE_6050	ENSG00000119772	DNMT3A	chr2	-	25472525	25472593	NA	NA	25470905	25471121	25475062	25475180	IncFormLen	SkipFormLen	SE	-chr2:25472525-25472593
SE_6051	ENSG00000119772	DNMT3A	chr2	-	25472525	25472593	NA	NA	25470905	25471121	25497809	25497956	IncFormLen	SkipFormLen	SE	-chr2:25472525-25472593
SE_6064	ENSG00000136856	SLC2A8	chr9	+	130164835	130165032	NA	NA	130162185	130162285	130165938	130166082	IncFormLen	SkipFormLen	SE	+chr9:130164835-130165032
SE_6087	ENSG00000136856	SLC2A8	chr9	+	130167698	130167844	NA	NA	130167096	130167270	130169390	130169570	IncFormLen	SkipFormLen	SE	+chr9:130167698-130167844
SE_6166	ENSG00000147854	UHRF2	chr9	+	6492302	6492401	NA	NA	6486820	6486925	6493825	6493932	IncFormLen	SkipFormLen	SE	+chr9:6492302-6492401
SE_6168	ENSG00000147854	UHRF2	chr9	+	6495584	6497103	NA	NA	6493825	6493932	6497197	6497360	IncFormLen	SkipFormLen	SE	+chr9:6495584-6497103
SE_6220	ENSG00000111731	C2CD5	chr12	-	22612425	22612476	NA	NA	22609904	22610095	22622642	22622729	IncFormLen	SkipFormLen	SE	-chr12:22612425-22612476
SE_6342	ENSG00000080298	RFX3	chr9	-	3301545	3301620	NA	NA	3293076	3293258	3330258	3330517	IncFormLen	SkipFormLen	SE	-chr9:3301545-3301620
SE_6420	ENSG00000196378	ZNF34	chr8	-	146002842	146002962	NA	NA	145998498	145999990	146003422	146003549	IncFormLen	SkipFormLen	SE	-chr8:146002842-146002962
SE_6547	ENSG00000104529	EEF1D	chr8	-	144668388	144668460	NA	NA	144663223	144663498	144668898	144669019	IncFormLen	SkipFormLen	SE	-chr8:144668388-144668460
SE_6569	ENSG00000104529	EEF1D	chr8	-	144672777	144672908	NA	NA	144671160	144672251	144679517	144679585	IncFormLen	SkipFormLen	SE	-chr8:144672777-144672908
SE_6716	ENSG00000044090	CUL7	chr6	-	43015684	43015727	NA	NA	43014617	43014845	43015885	43015898	IncFormLen	SkipFormLen	SE	-chr6:43015684-43015727
SE_6761	ENSG00000184428	TOP1MT	chr8	-	144414656	144414771	NA	NA	144413393	144413509	144416909	144417024	IncFormLen	SkipFormLen	SE	-chr8:144414656-144414771
SE_6764	ENSG00000184428	TOP1MT	chr8	-	144414656	144414827	NA	NA	144413393	144413509	144416909	144417036	IncFormLen	SkipFormLen	SE	-chr8:144414656-144414827
SE_6767	ENSG00000184428	TOP1MT	chr8	-	144416277	144416455	NA	NA	144413393	144413509	144416909	144416965	IncFormLen	SkipFormLen	SE	-chr8:144416277-144416455
SE_6819	ENSG00000160932	LY6E	chr8	+	144100249	144100536	NA	NA	144099944	144100003	144101678	144101794	IncFormLen	SkipFormLen	SE	+chr8:144100249-144100536
SE_6826	ENSG00000160932	LY6E	chr8	+	144101678	144101794	NA	NA	144099933	144100003	144102304	144102408	IncFormLen	SkipFormLen	SE	+chr8:144101678-144101794
SE_6827	ENSG00000160932	LY6E	chr8	+	144101678	144101794	NA	NA	144100249	144100536	144102299	144102408	IncFormLen	SkipFormLen	SE	+chr8:144101678-144101794
SE_6855	ENSG00000184489	PTP4A3	chr8	+	142437849	142437924	NA	NA	142437038	142437169	142441026	142441394	IncFormLen	SkipFormLen	SE	+chr8:142437849-142437924
SE_6859	ENSG00000157379	DHRS1	chr14	-	24760761	24760831	NA	NA	24760344	24760425	24761389	24761536	IncFormLen	SkipFormLen	SE	-chr14:24760761-24760831
SE_6887	ENSG00000256500	RP11-73M18.2	chr14	+	104037959	104038157	NA	NA	104029298	104029461	104053610	104053701	IncFormLen	SkipFormLen	SE	+chr14:104037959-104038157
SE_6889	ENSG00000256500	RP11-73M18.2	chr14	+	104040443	104040507	NA	NA	104029298	104029461	104053610	104053701	IncFormLen	SkipFormLen	SE	+chr14:104040443-104040507
SE_6891	ENSG00000256500	RP11-73M18.2	chr14	+	104040443	104040507	NA	NA	104037959	104038157	104053610	104053701	IncFormLen	SkipFormLen	SE	+chr14:104040443-104040507
SE_6958	ENSG00000109111	SUPT6H	chr17	+	26999774	26999876	NA	NA	26989215	26989360	27000388	27000528	IncFormLen	SkipFormLen	SE	+chr17:26999774-26999876
SE_7053	ENSG00000129292	PHF20L1	chr8	+	133811328	133811418	NA	NA	133811017	133811106	133816063	133816277	IncFormLen	SkipFormLen	SE	+chr8:133811328-133811418
SE_7055	ENSG00000129292	PHF20L1	chr8	+	133811340	133811418	NA	NA	133811017	133811106	133816063	133816277	IncFormLen	SkipFormLen	SE	+chr8:133811340-133811418
SE_7065	ENSG00000129292	PHF20L1	chr8	+	133837279	133837402	NA	NA	133836248	133836305	133837508	133837582	IncFormLen	SkipFormLen	SE	+chr8:133837279-133837402
SE_7215	ENSG00000153310	FAM49B	chr8	-	130916744	130916831	NA	NA	130891634	130891717	130951853	130951992	IncFormLen	SkipFormLen	SE	-chr8:130916744-130916831
SE_7222	ENSG00000153310	FAM49B	chr8	-	130916744	130916831	NA	NA	130915557	130915596	130951853	130951992	IncFormLen	SkipFormLen	SE	-chr8:130916744-130916831
